,Gemeinde,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U)
0,Regionalverband Saarbrücken,,,,,
1,"Saarbrücken, Landeshauptstadt",107,21 412,20 730,31 533,38 149
2,"Friedrichsthal, Stadt",3,567,854,264,542
3,Großrosseln,3,261,373,72,365
4,Heusweiler,19,648,944,597,821
5,Kleinblittersdorf,7,598,792,578,973
6,"Püttlingen, Stadt",18,916,724,388,1 805
7,Quierschied,.,348,358,.,524
8,Riegelsberg,.,291,472,.,774
9,"Sulzbach/Saar, Stadt",-,3 674,1 065,1 481,1 761
10,"Völklingen, Stadt",35,5 442,3 455,2 075,3 649
11,Beckingen,19,541,422,244,613
12,Losheim am See,28,1 211,1 486,678,881
13,"Merzig, Kreisstadt",115,2 137,3 507,1 246,4 594
14,Mettlach,6,2 231,824,152,824
15,Perl,51,215,861,83,387
16,"Wadern, Stadt",18,1 945,1 258,2 018,983
17,Weiskirchen,8,757,347,88,714
18,Eppelborn,10,894,492,436,772
19,Illingen,10,1 279,1 153,295,1 100
20,Merchweiler,17,418,550,85,314
21,"Neunkirchen, Kreisstadt",15,7 570,4 639,2 165,7 013
22,"Ottweiler, Stadt",17,578,363,1 258,1 929
23,Schiffweiler,9,811,719,327,699
24,Spiesen-Elversberg,-,422,526,406,1 883
25,"Dillingen/Saar, Stadt",,8 181,1 836,1 307,3 142
26,"Lebach, Stadt",11,1 031,962,751,1 766
27,Nalbach,7,299,151,210,326
28,Rehlingen-Siersburg,14,783,547,203,615
29,"Saarlouis, Kreisstadt",67,10 737,5 501,4 789,6 108
30,Saarwellingen,13,1 700,1 213,1 025,1 027
31,Schmelz,21,1 723,772,140,755
32,Schwalbach,13,449,624,304,684
33,Überherrn,27,1 380,1 691,236,471
34,Wadgassen,.,441,521,.,920
35,Wallerfangen,10,168,199,92,704
36,Bous,-,657,744,103,340
37,Ensdorf,.,200,901,.,390
38,"Bexbach, Stadt",17,1 409,1 472,762,915
39,"Blieskastel, Stadt",43,2 178,1 741,281,1 613
40,Gersheim,3,390,122,29,503
41,"Homburg, Kreisstadt",13,11 972,4 466,4 310,10 392
42,Kirkel,21,1 142,820,1 032,531
43,Mandelbachtal,51,172,416,148,378
44,"St. Ingbert, Stadt",20,7 595,3 736,3 476,3 505
45,Freisen,7,1 281,401,136,287
46,Marpingen,6,200,253,151,377
47,Namborn,17,94,147,56,185
48,Nohfelden,17,1 043,635,52,440
49,Nonnweiler,38,2 634,523,247,608
50,Oberthal,8,148,148,90,307
51,"St. Wendel, Kreisstadt",51,3 651,2 670,2 750,5 317
52,Tholey,15,1 198,553,192,546
53,SAARLAND,1 035,118 022,80 679,70 688,115 221
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
